,s1
2078,s2
2079,s2
2080,s2
2081,s2
2082,s2
2083,s2
2084,s2
2085,s2
2086,s2
2087,s2
2088,s2
2089,s2
2090,s2
2091,s2
2092,s2
2093,s2
2094,s2
2095,s2
2096,s2
2097,s2
2098,s2
2099,s2
2100,s2
2101,s2
2102,s2
2103,s2
2104,s2
2105,s2
2106,s2
2107,s2
2108,s2
2109,s2
2110,s2
2111,s2
2112,s2
2113,s2
2114,s2
2115,s2
2116,s2
2117,s2
2118,s2
2119,s2
2120,s2
2121,s2
2122,s2
2123,s2
2124,s2
2125,s2
2126,s2
2127,s2
2128,s2
2129,s2
2130,s2
2131,s2
2132,s2
2133,s2
2134,s2
2135,s2
2136,s2
2137,s2
2138,s2
2139,s2
2140,s2
2141,s2
2142,s2
2143,s2
2144,s2
2145,s2
2146,s2
2147,s2
2148,s2
2149,s2
2150,s2
2151,s2
2152,s2
2153,s2
2154,s2
2155,s2
2156,s2
2157,s2
2158,s2
2159,s2
2160,s2
2161,s2
2162,s2
2163,s2
2164,s2
2165,s2
2166,s2
2167,s2
2168,s2
2169,s2
2170,s2
2171,s2
2172,s2
2173,s2
2174,s2
2175,s2
2176,s2
2177,s2
2178,s2
2179,s2
2180,s2
2181,s2
2182,s2
2183,s2
2184,s2
2185,s2
2186,s2
2187,s2
2188,s2
2189,s2
2190,s2
2191,s2
2192,s2
2193,s2
2194,s2
2195,s2
2196,s2
2197,s2
2198,s2
2199,s2
2200,s2
2201,s2
2202,s2
2203,s2
2204,s2
2205,s2
2206,s2
2207,s2
2208,s2
2209,s2
2210,s2
2211,s2
2212,s2
2213,s2
2214,s2
2215,s2
2216,s2
2217,s2
2218,s2
2219,s2
2220,s2
2221,s2
2222,s2
2223,s2
2224,s2
2225,s2
2226,s2
2227,s2
2228,s2
2229,s2
2230,s2
2231,s2
2232,s2
2233,s2
2234,s2
2235,s2
2236,s2
2237,s2
2238,s2
2239,s2
2240,s2
2241,s2
2242,s2
2243,s2
2244,s2
2245,s2
2246,s2
2247,s2
2248,s2
2249,s2
2250,s2
2251,s2
2252,s2
2253,s2
2254,s2
2255,s2
2256,s2
2257,s2
2258,s2
2259,s2
2260,s2
2261,s2
2262,s2
2263,s2
2264,s2
2265,s2
2266,s2
2267,s2
2268,s2
2269,s2
2270,s2
2271,s2
2272,s2
2273,s2
2274,s2
2275,s2
2276,s2
2277,s2
2278,s2
2279,s2
2280,s2
2281,s2
2282,s2
2283,s2
2284,s2
2285,s2
2286,s2
2287,s2
2288,s2
2289,s2
2290,s2
2291,s2
2292,s2
2293,s2
2294,s2
2295,s2
2296,s2
2297,s2
2298,s2
2299,s2
2300,s2
2301,s2
2302,s2
2303,s2
2304,s2
2305,s2
2306,s2
2307,s2
2308,s2
2309,s2
2310,s2
2311,s2
2312,s2
2313,s2
2314,s2
2315,s2
2316,s2
2317,s2
2318,s2
2319,s2
2320,s2
2321,s2
2322,s2
2323,s2
2324,s2
2325,s2
2326,s2
2327,s2
2328,s2
2329,s2
2330,s2
2331,s2
2332,s2
2333,s2
2334,s2
2335,s2
2336,s2
2337,s2
2338,s2
2339,s2
2340,s2
2341,s2
2342,s2
2343,s2
2344,s2
2345,s2
2346,s2
2347,s2
2348,s2
2349,s2
2350,s2
2351,s2
2352,s2
2353,s2
2354,s2
2355,s2
2356,s2
2357,s2
2358,s2
2359,s2
2360,s2
2361,s2
2362,s2
2363,s2
2364,s2
2365,s2
2366,s2
2367,s2
2368,s2
2369,s2
2370,s2
2371,s2
2372,s2
2373,s2
2374,s2
2375,s2
2376,s2
2377,s2
2378,s2
2379,s2
2380,s2
2381,s2
2382,s2
2383,s2
2384,s2
2385,s2
2386,s2
2387,s2
2388,s2
